player,score,mentions,note,gameweek
Sangare,4.3,6,"Delivered two assists and strong defensive-contribution numbers in Gameweek 1, and was among the first price risers of the season on the back of it.",2
Egan,4.3,6,"Recorded 21 defensive contributions in Gameweek 1 — the most of any player in the league that week, and the clearest early validation yet of the defensive-contribution budget-enabler theory.",2
Mosquera,4.2,5,"Arsenal's move to sign Ezri Konsa adds medium-term competition for minutes in defence, though Mosquera remains the incumbent route into the backline for now.",2
Wirtz,4.2,6,Attractive Liverpool attacking route and prominent watchlist option; role/settling-in risk keeps him below Szoboszlai.,2
Van Dijk,4.2,5,"Liverpool fixture run, goal threat and strong historical defence keep him high on watchlists despite price.",2
Verbruggen,4.2,5,Popular £4.5m alternative with good value case and positive Brighton defensive data.,2
Dewsbury-Hall,4.2,6,Back among Leeds' corner-takers in Gameweek 1 while regular taker James Garner was only fit enough for the bench — a live route to extra set-piece involvement if that continues.,2
Bobby Thomas,4.1,5,One of the leading £4.0m bench defenders; attacking threat and defensive-contribution potential.,2
Igor Jesus,4.1,5,Excellent pre-season scoring and strong £6.0m value case; official Scout budget and FFScout watchlist support.,2
Ismaila Sarr,4.1,5,Strong projected value and attacking role; recurring watchlist and mid-price shortlist option.,2
Tarkowski,4.1,5,Elite defensive-contribution profile and strong projections; expensive but consistently ranked highly.,2
Tzolis,4.1,5,Outstanding Arsenal pre-season output and attractive GW1 fixture; growing expert interest despite new-signing uncertainty.,2
Kevin Schade,4.1,5,Led the whole league for shots inside the box in Gameweek 1 with five attempts against Spurs; a strong underlying signal even without a return on the scoresheet that week.,2
Le Fee,4.0,5,Repeated value-ranking support and useful mid-price slot; strong projected-value case.,2
Madjo,4.0,4,Breakout pre-season performer at £5.5m; official Scout identifies him as the standout budget-forward possibility if starts continue.,2
Mitchell,4.0,4,Strong £4.5m value case and advanced wing-back role; official Scout budget pick.,2
Stach,4.0,5,"Scored from a direct free-kick in Gameweek 1, confirming that route to goal is still his; corner-taking duties look more shared than before following a new Leeds signing.",2
Calafiori,3.9,4,"Arsenal defensive exposure with attacking upside; appears regularly in early drafts, but role security matters.",2
Gibbs-White,3.9,4,Talismanic role and proven returns; price rise and mixed fixtures temper enthusiasm.,2
Greaves,3.9,4,Promoted-team £4.0m defender with strong defensive-contribution potential; official Scout bench recommendation.,2
N. Williams,3.9,4,Attacking defender with strong shot volume and possible wing-back upside; appears in rankings and drafts.,2
Odegaard,3.8,4,Secure Arsenal creative role and appears in expert drafts; premium allocation competition limits consensus.,2
Brobbey,3.8,3,£6.0m forward on FFScout watchlist; upside pick rather than established template.,2
Canvot,3.8,3,"DefCon, clean-sheet and set-piece appeal; FFScout watchlist/value support.",2
McBurnie,3.8,3,Strong projected-value profile at £5.5m; useful budget forward option.,2
Muharemovic,3.8,3,DefCon plus set-piece threat at £5.0m; recurring analytical shortlist option.,2
Pickford,3.8,3,Reliable premium-ish goalkeeper with favourable early promoted-opposition fixtures; watchlist support.,2
Van Ewijk,3.8,3,Attacking £4.0m defender with strong Championship assist record; prominent budget-guide pick.,2
Rayan Cherki,3.8,4,"Made an immediate impact off the bench in Gameweek 1, creating four chances and registering two assists in just 33 minutes for Man City; a name to watch for a starting role, though his minutes are not yet secure.",2
Thiago,3.7,4,"Missed a penalty in Gameweek 1 for Brentford; still first-choice with healthy shot volume, but the miss is worth factoring into penalty-reliant projections.",2
Cunha,3.7,4,"Quality attacking option in a favourable Man Utd environment, but Mbeumo/Bruno currently dominate expert preference.",2
Elliot Anderson,3.7,3,"Strong defensive-contribution and all-round profile; respected analytical pick, though not a template GW1 asset.",2
Florentino,3.6,3,Budget midfielder primarily valued for reliable defensive-contribution potential.,2
Foden,3.6,3,High ceiling and appears in aggressive drafts; rotation/new-manager uncertainty suppresses consensus.,2
Ndiaye,3.6,3,Mid-priced attacking pick with value-case support in analytical guides; not yet broad template consensus.,2
Van Hecke,3.6,3,Mid-price route into an improving defensive setup; recurring draft/rotation option.,2
Lewis Hall,3.6,3,"Took over all of Newcastle's corners and crossed free-kicks in Gameweek 1 following the departures of Trippier, Gordon and Tonali — a fresh route to attacking returns worth tracking.",2
Ampadu,3.5,3,Standout DefCon potential at budget price; more floor than explosive upside.,2
Davis,3.5,3,Attacking promoted defender often used in draft structures; fixture/clean-sheet risk caps consensus.,2
Kadioglu,3.5,3,Attacking full-back/wing-back profile and recurring early-draft presence; some role/fixture uncertainty.,2
Kluivert,3.5,3,Useful mid-price attacking option and draft rotation piece; lower consensus than the template mids.,2
Mykolenko,3.5,3,Budget/mid-price rotation option that appears in several drafts; less explosive than the top defenders.,2
Kelleher,3.5,2,"Solid prior-season scoring profile and value discussion, but less universal GW1 backing than Kinsky/Verbruggen.",2
Sesko,3.4,4,"Recognised talent and recurring early drafts, but fitness/availability questions reduce immediate GW1 consensus.",2
Manzambi,3.4,2,Interesting £6.0m Aston Villa attacking-role punt highlighted by experienced managers; role still needs confirmation.,2
Rogers,3.3,4,"Long-term quality recognised, but experts have raised GW1-start/settling concerns after move; caution in opening round.",2
Minteh,3.2,3,"Missing from Brighton's Gameweek 1 squad, which opened the door for De Cuyper's advanced wing role and set pieces; his return date is one to track before committing further transfers.",2
Diop,3.2,3,Highly owned budget route but some expert caution; viable enabler rather than a strong consensus starter.,2
Leno,3.2,2,Steady established option appearing in draft structures; lower consensus because fixtures/value are less compelling.,2
McGinn,3.2,2,"Set pieces and goal threat at £5.5m create value, but DefCon/fixture concerns keep him peripheral.",2
Damsgaard,3.1,2,Set-piece role and creativity make him a monitor; minutes security is the key concern.,2
Iwobi,3.1,2,Established £5.5m option in price-point analysis; dependable but not a standout consensus target.,2
O'Shea,3.1,2,Budget defender discussed as a viable alternative to more-owned enablers; modest attacking ceiling.,2
Ballard,3.0,2,Budget centre-back option with defensive-contribution potential; secondary consensus pick.,2
Bruno G.,3.0,2,Solid all-round midfielder appearing in some structures; lower attacking ceiling than leading alternatives.,2
Walle Egeli,3.0,2,Ultra-budget forward option highlighted in Hub guidance; mostly a bench/enabler play.,2
Welbeck,3.0,2,Experienced forward with a new context; some value interest but role competition prevents strong consensus.,2
Reinildo,2.9,2,Cheap structural enabler seen in draft builds; useful mainly for budget release.,2
Slater,2.9,2,Budget enabler frequently seen in bench/Bench Boost structures; limited ceiling.,2
Dubravka,2.8,3,Primarily discussed as a cheap second goalkeeper/enabler rather than a preferred starter.,2
Kusi-Asare,2.8,2,Cheap £4.5m forward enabler; useful structurally but not expected to start.,2
